condition,cc,flows,value,unit
normal,cubic,1,33.4,Gbits/sec
normal,bbr,1,5.58,Gbits/sec
normal,reno,1,33.8,Gbits/sec
normal,cubic,5,28.0,Gbits/sec
normal,bbr,5,13.1,Gbits/sec
normal,reno,5,27.9,Gbits/sec
delay50_loss2_bw10,cubic,1,2.12,Mbits/sec
delay50_loss2_bw10,bbr,1,5.36,Mbits/sec
delay50_loss2_bw10,reno,1,2.90,Mbits/sec
delay50_loss2_bw10,cubic,5,7.67,Mbits/sec
delay50_loss2_bw10,bbr,5,6.11,Mbits/sec
delay50_loss2_bw10,reno,5,6.79,Mbits/sec
